,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
29654,2016,Iran (Islamic Rep. of),IRN,Malta,MLT,27,0.0,0.0,-,0.0,-,0.0
29666,2016,Iraq,IRQ,Austria,AUT,5555,10211.0,0.0,-,0.0,-,0.0
29623,2016,India,IND,Poland,POL,5,13.0,0.0,-,0.0,-,0.0
29622,2016,India,IND,Norway,NOR,9,5.0,0.0,-,0.0,-,0.0
29621,2016,India,IND,Netherlands (Kingdom of the),NLD,7,7.0,0.0,-,0.0,-,0.0
29590,2016,Cote d'Ivoire,CIV,Finland,FIN,13,5.0,0.0,-,0.0,-,0.0
29589,2016,Cote d'Ivoire,CIV,Denmark,DNK,12,5.0,0.0,-,0.0,-,0.0
29588,2016,Cote d'Ivoire,CIV,Cyprus,CYP,5,12.0,0.0,-,0.0,-,0.0
29587,2016,Cote d'Ivoire,CIV,Bulgaria,BGR,5,11.0,0.0,-,0.0,-,0.0
29586,2016,Cote d'Ivoire,CIV,Belgium,BEL,153,106.0,0.0,-,0.0,-,0.0
29585,2016,Cote d'Ivoire,CIV,Austria,AUT,71,46.0,0.0,-,0.0,-,0.0
29584,2016,Hungary,HUN,Switzerland,CHE,7,0.0,0.0,-,0.0,-,0.0
29583,2016,Hungary,HUN,Sweden,SWE,5,5.0,0.0,-,0.0,-,0.0
29582,2016,Hungary,HUN,Germany,DEU,269,7.0,0.0,-,0.0,-,0.0
29581,2016,Hungary,HUN,France,FRA,66,0.0,0.0,-,0.0,-,0.0
29580,2016,Hungary,HUN,Belgium,BEL,49,0.0,0.0,-,0.0,-,0.0
29579,2016,Hungary,HUN,Austria,AUT,0,6.0,0.0,-,0.0,-,0.0
29591,2016,Cote d'Ivoire,CIV,France,FRA,2886,1459.0,0.0,-,0.0,-,0.0
29578,2016,Croatia,HRV,Switzerland,CHE,35,0.0,0.0,-,0.0,-,0.0
29576,2016,Croatia,HRV,Serbia and Kosovo: S/RES/1244 (1999),SRB,20346,0.0,0.0,-,0.0,-,0.0
29575,2016,Croatia,HRV,Italy,ITA,18,0.0,0.0,-,0.0,-,0.0
29574,2016,Croatia,HRV,Hungary,HUN,5,0.0,0.0,-,0.0,-,0.0
29573,2016,Croatia,HRV,Croatia,HRV,0,0.0,0.0,-,0.0,-,14518.0
29572,2016,Croatia,HRV,Germany,DEU,327,22.0,0.0,-,0.0,-,0.0
29571,2016,Croatia,HRV,United Kingdom of Great Britain and Northern Ireland,GBR,5,5.0,0.0,-,0.0,-,0.0
29570,2016,Croatia,HRV,France,FRA,63,0.0,0.0,-,0.0,-,0.0
29569,2016,Croatia,HRV,Finland,FIN,10,0.0,0.0,-,0.0,-,0.0
29568,2016,Croatia,HRV,Belgium,BEL,5,0.0,0.0,-,0.0,-,0.0
29567,2016,Croatia,HRV,Austria,AUT,5,0.0,0.0,-,0.0,-,0.0
29566,2016,Honduras,HND,Sweden,SWE,14,16.0,0.0,-,0.0,-,0.0
29565,2016,Honduras,HND,Norway,NOR,5,0.0,0.0,-,0.0,-,0.0
29577,2016,Croatia,HRV,Sweden,SWE,6,5.0,0.0,-,0.0,-,0.0
29563,2016,Honduras,HND,Italy,ITA,19,54.0,0.0,-,0.0,-,0.0
29592,2016,Cote d'Ivoire,CIV,United Kingdom of Great Britain and Northern Ireland,GBR,264,61.0,0.0,-,0.0,-,0.0
29594,2016,Cote d'Ivoire,CIV,Greece,GRC,60,43.0,0.0,-,0.0,-,0.0
29620,2016,India,IND,Italy,ITA,140,514.0,0.0,-,0.0,-,0.0
29619,2016,India,IND,Ireland,IRL,5,80.0,0.0,-,0.0,-,0.0
29618,2016,India,IND,Hungary,HUN,5,8.0,0.0,-,0.0,-,0.0
29617,2016,India,IND,Greece,GRC,27,82.0,0.0,-,0.0,-,0.0
29616,2016,India,IND,Germany,DEU,266,3449.0,0.0,-,0.0,-,0.0
29615,2016,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,301,1145.0,0.0,-,0.0,-,0.0
29614,2016,India,IND,France,FRA,200,126.0,0.0,-,0.0,-,0.0
29613,2016,India,IND,Finland,FIN,11,24.0,0.0,-,0.0,-,0.0
29612,2016,India,IND,Denmark,DNK,5,8.0,0.0,-,0.0,-,0.0
29611,2016,India,IND,Czechia,CZE,5,0.0,0.0,-,0.0,-,0.0
29610,2016,India,IND,Cyprus,CYP,7,140.0,0.0,-,0.0,-,0.0
29609,2016,India,IND,Bulgaria,BGR,5,5.0,0.0,-,0.0,-,0.0
29593,2016,Cote d'Ivoire,CIV,Germany,DEU,182,2010.0,0.0,-,0.0,-,0.0
29608,2016,India,IND,Belgium,BEL,20,20.0,0.0,-,0.0,-,0.0
29606,2016,Cote d'Ivoire,CIV,Ukraine,UKR,5,30.0,0.0,-,0.0,-,0.0
29605,2016,Cote d'Ivoire,CIV,Switzerland,CHE,171,72.0,0.0,-,0.0,-,0.0
29604,2016,Cote d'Ivoire,CIV,Sweden,SWE,71,21.0,0.0,-,0.0,-,0.0
29603,2016,Cote d'Ivoire,CIV,Slovakia,SVK,5,0.0,0.0,-,0.0,-,0.0
29602,2016,Cote d'Ivoire,CIV,Romania,ROU,5,0.0,0.0,-,0.0,-,0.0
29601,2016,Cote d'Ivoire,CIV,Norway,NOR,27,5.0,0.0,-,0.0,-,0.0
29600,2016,Cote d'Ivoire,CIV,Netherlands (Kingdom of the),NLD,403,24.0,0.0,-,0.0,-,0.0
29599,2016,Cote d'Ivoire,CIV,Malta,MLT,10,5.0,0.0,-,0.0,-,0.0
29598,2016,Cote d'Ivoire,CIV,Luxembourg,LUX,6,10.0,0.0,-,0.0,-,0.0
29597,2016,Cote d'Ivoire,CIV,Italy,ITA,5805,5497.0,0.0,-,0.0,-,0.0
29596,2016,Cote d'Ivoire,CIV,Ireland,IRL,18,5.0,0.0,-,0.0,-,0.0
29595,2016,Cote d'Ivoire,CIV,Hungary,HUN,15,0.0,0.0,-,0.0,-,0.0
29607,2016,India,IND,Austria,AUT,63,770.0,0.0,-,0.0,-,0.0
29444,2016,Palestinian,PSE,Malta,MLT,55,15.0,0.0,-,0.0,-,0.0
29919,2016,Lithuania,LTU,Sweden,SWE,5,7.0,0.0,-,0.0,-,0.0
29921,2016,Latvia,LVA,France,FRA,38,0.0,0.0,-,0.0,-,0.0
30244,2016,Russian Federation,RUS,Belarus,BLR,0,6.0,0.0,-,0.0,-,0.0
30243,2016,Russian Federation,RUS,Belgium,BEL,2558,550.0,0.0,-,0.0,-,0.0
30242,2016,Russian Federation,RUS,Austria,AUT,13773,2707.0,0.0,-,0.0,-,0.0
30241,2016,South Africa,ZAF,Switzerland,CHE,12,0.0,0.0,-,0.0,-,0.0
30240,2016,South Africa,ZAF,Netherlands (Kingdom of the),NLD,5,8.0,0.0,-,0.0,-,0.0
30239,2016,South Africa,ZAF,Italy,ITA,5,5.0,0.0,-,0.0,-,0.0
30238,2016,South Africa,ZAF,Ireland,IRL,51,168.0,0.0,-,0.0,-,0.0
30237,2016,South Africa,ZAF,Germany,DEU,18,21.0,0.0,-,0.0,-,0.0
30236,2016,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,162,68.0,0.0,-,0.0,-,0.0
30235,2016,South Africa,ZAF,France,FRA,30,5.0,0.0,-,0.0,-,0.0
30234,2016,South Africa,ZAF,Czechia,CZE,5,0.0,0.0,-,0.0,-,0.0
30233,2016,South Africa,ZAF,Belgium,BEL,5,0.0,0.0,-,0.0,-,0.0
